ID           make wheel.base length width height curb.weight engine.size bore stroke compression.ratio horsepower peak.rpm city.mpg highway.mpg price
1    alfa-romero1       88.6  168.8  64.1   48.8        2548         130 3.47   2.68              9.00        111     5000       21          27 13495
2    alfa-romero2       94.5  171.2  65.5   52.4        2823         152 2.68   3.47              9.00        154     5000       19          26 16500
3           audi1       99.8  176.6  66.2   54.3        2337         109 3.19   3.40             10.00        102     5500       24          30 13950
4           audi2      105.8  192.7  71.4   55.9        3086         131 3.13   3.40              8.30        140     5500       17          20 23875
5            bmw1      103.5  189.0  66.9   55.7        3230         209 3.62   3.39              8.00        182     5400       16          22 30760
6            bmw2      110.0  197.0  70.9   56.3        3505         209 3.62   3.39              8.00        182     5400       15          20 36880
7      chevrolet1       88.4  141.1  60.3   53.2        1488          61 2.91   3.03              9.50         48     5100       47          53  5151
8      chevrolet2       94.5  158.8  63.6   52.0        1909          90 3.03   3.11              9.60         70     5400       38          43  6575
9          dodge1       93.7  157.3  63.8   50.8        1876          90 2.97   3.23              9.41         68     5500       37          41  5572
10         dodge2      103.3  174.6  64.6   59.8        2535         122 3.34   3.46              8.50         88     5000       24          30  8921
11         dodge3       95.9  173.2  66.3   50.2        2811         156 3.60   3.90              7.00        145     5000       19          24 12964
12         honda1       86.6  144.6  63.9   50.8        1819          92 2.91   3.41              9.20         76     6000       31          38  6855
13         honda2       93.7  150.0  64.0   52.6        1940          92 2.91   3.41              9.20         76     6000       30          34  6529
14         honda3       96.5  157.1  63.9   58.3        2024          92 2.92   3.41              9.20         76     6000       30          34  7295
15          isuzu       94.3  170.7  61.8   53.5        2337         111 3.31   3.23              8.50         78     4800       24          29  6785
16        jaguar1      113.0  199.6  69.6   52.8        4066         258 3.63   4.17              8.10        176     4750       15          19 35550
17        jaguar2      102.0  191.7  70.6   47.8        3950         326 3.54   2.76             11.50        262     5000       13          17 36000
18         mazda1       93.1  159.1  64.2   54.1        1890          91 3.03   3.15              9.00         68     5000       30          31  5195
19         mazda2       98.8  177.8  66.5   53.7        2385         122 3.39   3.39              8.60         84     4800       26          32  8845
20         mazda3      104.9  175.0  66.1   54.4        2670         140 3.76   3.16              8.00        120     5000       19          27 18280
21 mercedes-benz1      115.6  202.6  71.7   56.3        3770         183 3.58   3.64             21.50        123     4350       22          25 31600
22 mercedes-benz2       96.6  180.3  70.5   50.8        3685         234 3.46   3.10              8.30        155     4750       16          18 35056
23 mercedes-benz3      120.9  208.1  71.7   56.7        3900         308 3.80   3.35              8.00        184     4500       14          16 40960
24       mercury1      102.7  178.4  68.0   54.8        2910         140 3.78   3.12              8.00        175     5000       19          24 16503
25    mitsubishi2       93.7  157.3  64.4   50.8        1918          92 2.97   3.23              9.40         68     5500       37          41  5389
26    mitsubishi3       96.3  172.4  65.4   51.6        2403         110 3.17   3.46              7.50        116     5500       23          30  9279
27        nissan1       94.5  165.3  63.8   54.5        1938          97 3.15   3.29              9.40         69     5200       31          37  6849
28        nissan2      100.4  184.6  66.5   55.1        3060         181 3.43   3.27              9.00        152     5200       19          25 13499
29        nissan3       91.3  170.7  67.9   49.7        3071         181 3.43   3.27              9.00        160     5200       19          25 17199
30        peugot1      114.2  198.9  68.4   58.7        3430         152 3.70   3.52             21.00         95     4150       25          25 13860
31        peugot2      107.9  186.7  68.4   56.7        3075         120 3.46   2.19              8.40         95     5000       19          24 15580
32       plymouth       93.7  157.3  63.8   50.8        1918          90 2.97   3.23              9.40         68     5500       37          41  5572
33        porsche       89.5  168.9  65.0   51.6        2800         194 3.74   2.90              9.50        207     5900       17          25 37028
34           saab       99.1  186.6  66.5   56.1        2847         121 3.54   3.07              9.00        160     5500       19          26 18620
35        subaru1       93.7  156.9  63.4   53.7        2050          97 3.62   2.36              9.00         69     4900       31          36  5118
36        subaru2       97.2  172.0  65.4   52.5        2340         108 3.62   2.64              9.00         94     5200       26          32  9960
37        toyota1       95.7  166.3  64.4   52.8        2275         110 3.27   3.35             22.50         56     4500       38          47  7788
38        toyota2       94.5  168.7  64.0   52.6        2300          98 3.24   3.08              9.40        112     6600       26          29  9538
39        toyota3       98.4  176.2  65.6   53.0        2975         146 3.62   3.50              9.30        116     4800       24          30 17669
40        toyota4      102.9  183.5  67.7   52.0        3016         171 3.27   3.35              9.30        161     5200       19          24 15998
41        toyota5      104.5  187.8  66.5   54.1        3151         161 3.27   3.35              9.20        156     5200       19          24 15750
42    volkswagen1       97.3  171.7  65.5   55.7        2261          97 3.01   3.40             23.00         52     4800       37          46  7775
43    volkswagen2       94.5  159.3  64.2   55.6        2254         109 3.19   3.40              8.50         90     5500       24          29 11595
44    volkswagen3      100.4  183.1  66.9   55.1        2563         109 3.19   3.40              9.00         88     5500       25          31 12290
45         volvo1      104.3  188.8  67.2   57.5        3157         130 3.62   3.15              7.50        162     5100       17          22 18950
46         volvo2      109.1  188.8  68.9   55.5        3062         141 3.78   3.15              9.50        114     5400       19          25 22625
